"tissueType","cellName","geneSymbolmore1","geneSymbolmore2","shortName"
"shoot","companion cell","GENE.TRINITY-DN17046-c1-g1-i3~~TRINITY-DN17046-c1-g1-i3.p1","","companion cell"
"shoot","cortex","GENE.TRINITY-DN6831-c0-g2-i3~~TRINITY-DN6831-c0-g2-i3.p1","","cortex"
"shoot","dividing cell","GENE.TRINITY-DN12281-c0-g1-i1~~TRINITY-DN12281-c0-g1-i1.p1,GENE.TRINITY-DN67856-c0-g1-i1~~TRINITY-DN67856-c0-g1-i1.p1,GENE.TRINITY-DN13231-c0-g1-i1~~TRINITY-DN13231-c0-g1-i1.p1","","dividing cell"
"shoot","epidermis","GENE.TRINITY-DN1271-c0-g2-i2~~TRINITY-DN1271-c0-g2-i2.p1,GENE.TRINITY-DN5065-c0-g1-i2~~TRINITY-DN5065-c0-g1-i2.p1","","epidermis"
"shoot","mesophyll","GENE.TRINITY-DN833-c0-g1-i3~~TRINITY-DN833-c0-g1-i3.p1","","mesophyll"
"shoot","pith","GENE.TRINITY-DN5683-c0-g2-i1~~TRINITY-DN5683-c0-g2-i1.p1","","pith"
"shoot","procambium","GENE.TRINITY-DN12671-c0-g1-i1~~TRINITY-DN12671-c0-g1-i1.p1","","procambium"
"shoot","trichome","GENE.TRINITY-DN7475-c0-g3-i2~~TRINITY-DN7475-c0-g3-i2.p1,GENE.TRINITY-DN61099-c0-g1-i1~~TRINITY-DN61099-c0-g1-i1.p1,GENE.TRINITY-DN672-c0-g1-i13~~TRINITY-DN672-c0-g1-i13.p1","","trichome"
"shoot","xylem","GENE.TRINITY-DN9129-c0-g2-i1~~TRINITY-DN9129-c0-g2-i1.p1,GENE.TRINITY-DN12827-c0-g1-i1~~TRINITY-DN12827-c0-g1-i1.p1","","xylem"
"shoot","xylem/interfascicular fiber","GENE.TRINITY-DN10763-c0-g1-i1~~TRINITY-DN10763-c0-g1-i1.p1,GENE.TRINITY-DN6223-c0-g1-i2~~TRINITY-DN6223-c0-g1-i2.p1,GENE.TRINITY-DN2931-c1-g1-i1~~TRINITY-DN2931-c1-g1-i1.p1","","xylem/interfascicular fiber"
